value,run_length
155,1
157,3
158,2
157,1
158,2
159,1
157,1
156,1
160,2
162,1
163,1
164,4
162,1
159,1
158,1
153,10
152,4
151,2
152,8
151,1
152,1
150,1
149,1
150,1
149,1
148,1
146,1
145,2
144,1
145,1
143,2
141,1
137,1
135,1
150,1
158,1
157,2
158,3
157,1
158,1
157,1
159,2
160,1
164,1
162,1
163,1
164,3
165,1
163,1
158,1
157,1
153,2
152,3
151,1
152,2
151,1
152,1
153,1
152,2
151,3
152,6
151,1
152,1
151,1
152,1
150,3
148,1
146,2
145,2
144,2
143,3
136,2
147,1
156,1
157,1
158,3
157,1
155,1
157,1
158,1
159,1
161,1
160,1
162,1
163,1
164,5
162,1
160,1
156,1
153,2
152,20
151,1
152,4
151,2
149,1
148,3
146,3
144,2
143,1
139,1
137,1
144,1
155,1
157,3
155,3
157,1
158,2
160,2
162,1
163,1
165,2
164,2
166,1
163,1
160,1
156,1
154,1
153,1
152,9
151,4
152,1
153,6
152,5
151,1
152,1
150,2
148,2
147,1
145,1
144,1
146,1
144,2
143,1
138,1
145,1
152,1
156,1
157,1
155,2
153,2
157,1
158,1
159,1
160,2
163,1
164,1
165,1
164,1
163,1
165,2
163,1
159,1
156,1
155,1
152,1
153,1
152,2
153,2
152,1
153,5
152,1
153,1
152,1
153,11
152,1
151,1
152,1
150,1
149,2
148,1
146,3
145,3
142,1
145,1
150,1
154,1
153,1
152,3
153,1
157,1
158,1
160,2
162,1
163,2
164,2
165,2
164,1
163,1
160,1
156,1
155,1
153,1
152,2
153,8
154,1
153,1
154,1
153,2
155,5
153,7
151,3
150,1
149,1
148,1
147,1
146,3
145,1
142,1
144,1
148,1
151,3
153,2
155,1
158,1
159,1
160,1
162,1
163,1
164,2
165,2
166,2
165,1
164,1
159,1
156,2
153,1
155,2
153,2
155,1
153,1
155,2
153,4
155,3
156,1
155,7
153,4
151,2
150,2
149,1
148,2
146,3
145,1
142,1
143,1
144,1
150,1
151,1
152,1
155,1
154,1
156,1
159,1
162,2
163,1
164,2
165,2
166,3
165,1
163,1
159,1
156,2
155,2
153,1
155,2
156,2
155,4
156,1
155,1
156,1
155,1
156,1
155,3
